,0,1
0,git fetch [remote],"Fetch changes fr/uni006Fm the rem/uni006Fte , but n/uni006Ft update tracking branches."
1,git fetch --prune [remote],Delete rem/uni006Fte Refs that were rem/uni006Fved fr/uni006Fm the rem/uni006Fte rep/uni006Fsit/uni006Fry.
2,git pull [remote],Fetch changes fr/uni006Fm the rem/uni006Fte and merge current branch with its upstream.
3,git push [--tags] [remote],Push l/uni006Fcal changes t/uni006F the rem/uni006Fte . Use --tags t/uni006F push tags.
4,git push -u [remote] [branch],Push l/uni006Fcal branch t/uni006F rem/uni006Fte rep/uni006Fsit/uni006Fry. Set its c/uni006Fpy as an upstream.
